name,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital Green,,2000,,5900,8,2.5,SATA 6.0 Gb/s
Intel DC S3500,,600,,SSD,,2.5,SATA 6.0 Gb/s
Intel 530,94.99,180,0.528,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black,,250,,7200,16,2.5,SATA 6.0 Gb/s
Western Digital Black,55,320,0.172,7200,16,2.5,SATA 6.0 Gb/s
Hitachi Deskstar NAS,,4000,,7200,64,3.5,SATA 6.0 Gb/s
Kingston SSDNow E100,,400,,SSD,,2.5,SATA 6.0 Gb/s
Crucial M550,,512,,SSD,,M.2-2280,M.2 SATA
SanDisk X300S,,512,,SSD,,2.5,SATA 6.0 Gb/s
Transcend MTS400,139.99,256,0.547,SSD,,M.2-2242,M.2 SATA
Western Digital Green,,5000,,5400,64,3.5,SATA 6.0 Gb/s
Toshiba MQ02ABF100,,1000,,5400,16,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar 7K6000,,6000,,7200,128,3.5,SATA 6.0 Gb/s
PNY CS1211,,240,,SSD,,2.5,SATA 6.0 Gb/s
Seagate ST2000NX0303,,2000,,7200,128,2.5,SATA 6.0 Gb/s
Corsair Force LE,,960,,SSD,,2.5,SATA 6.0 Gb/s
Kingston FURY,,480,,SSD,,2.5,SATA 6.0 Gb/s
ADATA SP550,,960,,SSD,,2.5,SATA 6.0 Gb/s
OCZ RD400A,,256,,SSD,,PCIe,PCIe x4
Kingston Predator,,960,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung PM961,,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba N300,,8000,,7200,128,3.5,SATA 6.0 Gb/s
Hyundai Technology Sapphire,,240,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba MQ02ABD100H,,1000,,,64,2.5,SATA 6.0 Gb/s
ADATA Ultimate SU650,,240,,SSD,,2.5,SATA 6.0 Gb/s
Kingston UV500B,62.49,240,0.26,SSD,,M.2-2280,M.2 SATA
TEAMGROUP L5 LITE,,480,,SSD,,2.5,SATA 6.0 Gb/s
TCSunBow X3,,480,,SSD,,2.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,153.5,1000,0.153,7200,,2.5,SAS 12.0 Gb/s
Patriot VPN100,,256,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Patriot VPN100,,512,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP34,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NS100,,240,,SSD,,2.5,SATA 6.0 Gb/s
XPG SX6000 Lite,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA SU635,,960,,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,,1920,,SSD,,2.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,,3000,,5900,256,3.5,SATA 6.0 Gb/s
Hitachi HDN724040ALE640,,4000,,7200,,3.5,SATA 6.0 Gb/s
Seagate Exos X14,328.49,12000,0.027,7200,256,3.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,,500,,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power US70,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 4.0,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Integral M,,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Integral M,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba X300,,14000,,7200,512,3.5,SATA 6.0 Gb/s
Toshiba X300,,8000,,7200,256,3.5,SATA 6.0 Gb/s
Western Digital PC SN730,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot P200,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba S300 Pro,432,10000,0.043,7200,256,3.5,SATA 6.0 Gb/s
Timetec 30TTQNS3SATA-1TB,47.99,1000,0.048,SSD,,2.5,SATA 6.0 Gb/s
Toshiba MG04ACA100N,108.89,1000,0.109,7200,128,3.5,SATA 6.0 Gb/s
Western Digital easystore,,480,,SSD,,2.5,SATA 6.0 Gb/s
Nextorage NEM-PA,,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda ES.2,,250,,7200,32,3.5,SATA 3.0 Gb/s
MSI SPATIUM M460,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Netac NV2000,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
AITC Kingsman KE680,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital PC SN740 Pyrite,,256,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital PC SN740 Pyrite,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte AORUS Gen4 5000E,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS3150,,2000,,SSD,,M.2-2280,M.2 PCIe 5.0 X4
VisionTek 901414,,8000,,SSD,,2.5,SATA 6.0 Gb/s
AGI AI818,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket nano 2242,,1000,,SSD,,M.2-2242,M.2 PCIe 4.0 X4
Integral 2020,32.95,256,0.129,SSD,,M.2-2280,M.2 SATA
Patriot VP4000 Mini,64.99,1000,0.065,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Seagate FireCuda 520N,159.99,2000,0.08,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Seagate SkyHawk Surveillance +Rescue,189.99,8000,0.024,5400,256,3.5,SATA 6.0 Gb/s
Western Digital SN530,38.88,256,0.152,SSD,,M.2-2230,M.2 PCIe 3.0 X4
Seagate ST1000NX0373,39.99,1000,0.04,7200,128,2.5,SAS 12.0 Gb/s
Addlink S91,73.44,1000,0.073,SSD,,M.2-2230,M.2 PCIe 4.0 X4
KIOXIA BG4,49.99,512,0.098,SSD,,M.2-2230,M.2 PCIe 3.0 X4
Integral MO-300,,256,,SSD,,mSATA,mSATA
Western Digital Purple,293,12000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Toshiba X300,475.34,16000,0.03,7200,512,3.5,SATA 6.0 Gb/s
Addlink S95,269.44,4000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3608,,1600,,SSD,,PCIe,PCIe x8
Toshiba N300 Pro,175,6000,0.029,7200,256,3.5,SATA 6.0 Gb/s
Toshiba X300,508.52,8000,0.064,7200,256,3.5,SATA 6.0 Gb/s
Seagate FireCuda 520 Rev 2.0,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Transcend MTS800,55.24,64,0.863,SSD,,M.2-2280,M.2 SATA
Silicon Power Silm S55,32.35,480,0.067,SSD,,2.5,SATA 6.0 Gb/s
Intel Pro 5400s,612.1,1000,0.612,SSD,,2.5,SATA 6.0 Gb/s
ADATA SU655,,120,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNOW DC500R,450.27,1920,0.235,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power UD85,,250,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Addlink A93 PS5,149.44,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,49.5,500,0.099,5400,16,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,31.99,250,0.128,7200,8,3.5,SATA 6.0 Gb/s
Hitachi 0J11561,39.2,500,0.078,5400,8,2.5,SATA 3.0 Gb/s
Intel DC S3500,116.99,120,0.975,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black,49.75,500,0.099,7200,16,2.5,SATA 6.0 Gb/s
Toshiba AL13SE,,900,,10500,64,2.5,SAS 6.0 Gb/s
Transcend MTS400,91.19,128,0.712,SSD,,M.2-2242,M.2 SATA
Intel DC P3700,,400,,SSD,,PCIe,PCIe x4
Seagate IronWolf NAS,,3000,,5900,64,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,144.19,6000,0.024,5400,256,3.5,SATA 6.0 Gb/s
Patriot VPN100,,1000,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Ultrastar,59,240,0.246,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,218.52,6000,0.036,7200,256,3.5,SATA 6.0 Gb/s
Mushkin Vortex Redline,,512,,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD80,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NS100,,2000,,SSD,,2.5,SATA 6.0 Gb/s
GOODRAM IRDM PRO SLIM,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Apacer AS2280P4U Pro,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,,320,,7200,16,3.5,SATA 3.0 Gb/s
Western Digital Scorpio Blue,23.99,160,0.15,5400,8,2.5,SATA 3.0 Gb/s
Samsung Spinpoint F1 DT,,750,,7200,32,3.5,SATA 3.0 Gb/s
OCZ Colossus,,1000,,SSD,128,3.5,SATA 3.0 Gb/s
Seagate Barracuda XT,146.44,2000,0.073,7200,64,3.5,SATA 6.0 Gb/s
Intel X25-M,179.95,160,1.125,SSD,,2.5,SATA 3.0 Gb/s
Kingston HyperX,,240,,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Deskstar 7K1000.D,,1000,,7200,32,3.5,SATA 6.0 Gb/s
Samsung 830,,128,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow V200,,256,,SSD,,2.5,SATA 6.0 Gb/s
Samsung 830,,512,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Barracuda 7200.11,,320,,7200,16,3.5,SATA 3.0 Gb/s
Seagate Spinpoint F3,,500,,7200,16,3.5,SATA 3.0 Gb/s
Seagate Momentus Thin,,320,,5400,16,2.5,SATA 3.0 Gb/s
Corsair Force 3,,120,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow V300,,120,,SSD,,2.5,SATA 6.0 Gb/s
Corsair Force GS,,128,,SSD,,2.5,SATA 6.0 Gb/s
ADATA Premier Pro SP600,,32,,SSD,,2.5,SATA 6.0 Gb/s
SanDisk X110,,128,,SSD,,2.5,SATA 6.0 Gb/s
Crucial M500,,960,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Savvio,,300,,10000,64,2.5,SATA 6.0 Gb/s
Kingston SSDNow KC300,73.98,240,0.308,SSD,,2.5,SATA 6.0 Gb/s
Toshiba MQ01ABF050H,,500,,,32,2.5,SATA 6.0 Gb/s
OCZ Vertex 460,200,120,1.667,SSD,,2.5,SATA 6.0 Gb/s
Crucial M550,,256,,SSD,,2.5,SATA 6.0 Gb/s
HP 628065-B21,,3000,,7200,,3.5,SATA 6.0 Gb/s
Crucial M500,,240,,SSD,,M.2-2280,M.2 SATA
OCZ ARC 100,,120,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Green,193.99,6000,0.032,5400,64,3.5,SATA 6.0 Gb/s
AMD RADEON-R7SSD-240G,,240,,SSD,,2.5,SATA 6.0 Gb/s
Seagate ST500LM020,,500,,,,2.5,SATA 6.0 Gb/s
Seagate Surveillance HDD,,6000,,5400,128,3.5,SATA 6.0 Gb/s
Seagate ST1800MM0128,,1800,,10000,128,2.5,SAS 12.0 Gb/s
Micron M600,,256,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Enterprise NAS,,3000,,7200,128,3.5,SATA 6.0 Gb/s
ADATA XPG SX930,258.64,120,2.155,SSD,,2.5,SATA 6.0 Gb/s
Toshiba HDWA110XZSTA,,1000,,5700,64,3.5,SATA 6.0 Gb/s
Intel 540s,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow G2,,120,,SSD,,M.2-2280,M.2 SATA
SK Hynix SL308,,120,,SSD,,2.5,SATA 6.0 Gb/s
Samsung 850 Evo,,1000,,SSD,,M.2-2280,M.2 SATA
Seagate BarraCuda Pro,,8000,,7200,256,3.5,SATA 6.0 Gb/s
XPG GAMMIX S10,,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda Pro Compute,91.07,500,0.182,7200,128,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Delta RGB,,250,,SSD,,2.5,SATA 6.0 Gb/s
Drevo X1 Pro,,512,,SSD,,2.5,SATA 6.0 Gb/s
Kingston HyperX FURY RGB,,240,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Black,,1000,,7200,32,2.5,SATA 6.0 Gb/s
Lexar NM600,130.79,480,0.272,SSD,,M.2-2280,M.2 PCIe 3.0 X4
XPG SX6000 Lite,,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Helix-L,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP GX1,,960,,SSD,,2.5,SATA 6.0 Gb/s
Kingston KC2000,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SanDisk X600,,512,,SSD,,M.2-2280,M.2 SATA
SanDisk X600,,128,,SSD,,M.2-2280,M.2 SATA
Mushkin Pilot-E,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MG05ACA800E,372.3,8000,0.047,7200,128,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Delta Max RGB,,500,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Nytro XM1440,,800,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot Viper Gaming VP4100,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Pioneer APS-SE20G-256,56.67,256,0.221,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Pioneer APS-SE20G-512,87.36,512,0.171,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC2500,,250,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Biostar M500,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
Synology SAT5200,,1920,,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S7,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS350 PANTHER,,128,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Zero Z330,,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Create Expert,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston Q500,319,1920,0.166,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC550,,18000,,7200,512,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Delta RGB Lite,,500,,SSD,,2.5,SATA 6.0 Gb/s
Inland Prime,,500,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SN520,,256,,SSD,,M.2-2242,M.2 PCIe 3.0 X2
Seagate BarraCuda 120,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Fastro MS150,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel D3-S4520,194.95,960,0.203,SSD,,2.5,SATA 6.0 Gb/s
Netac NV2000,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
AITC Kingsman KE680,,512,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Micron 7400 PRO,,480,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Micron 2300,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MG09 4Kn,399,18000,0.022,7200,512,3.5,SATA 6.0 Gb/s
Transcend 830S,39.99,512,0.078,SSD,,M.2-2280,M.2 SATA
OWC Mercury Electra 6G,99.88,1000,0.1,SSD,,2.5,SATA 6.0 Gb/s
Klevv CRAS C910 Lite,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M480 PRO HS,,2000,,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Ultrastar DC HC530,,14000,,7200,512,3.5,SAS 12.0 Gb/s
Patriot VP4000 Mini,149.99,2000,0.075,SSD,,M.2-2230,M.2 PCIe 4.0 X4
TEAMGROUP MP44S,132.99,2000,0.066,SSD,,M.2-2230,M.2 PCIe 4.0 X4
KingSpec NX-2230,39.99,512,0.078,SSD,,M.2-2230,M.2 PCIe 3.0 X4
Toshiba P300,171.43,6000,0.029,5400,128,3.5,SATA 6.0 Gb/s
Crucial M4,207.77,32,6.493,SSD,,mSATA,mSATA
Hitachi 0F14683,140,4000,0.035,7200,64,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,188.95,8000,0.024,7200,256,3.5,SATA 6.0 Gb/s
Micron 2400,84.95,1000,0.085,SSD,,M.2-2230,M.2 PCIe 4.0 X4
Toshiba N300 Pro,300.44,14000,0.021,7200,512,3.5,SATA 6.0 Gb/s
Mushkin MKNSSDED1TB-D8,67.98,1000,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
VisionTek PRO,,500,,SSD,,M.2-2280,M.2 SATA
Seagate Enterprise Performance,272.45,2400,0.114,10000,256,2.5,SAS 12.0 Gb/s
Western Digital Purple Pro,319,14000,0.023,7200,512,3.5,SATA 6.0 Gb/s
Toshiba N300,,8000,,7200,256,3.5,SATA 6.0 Gb/s
Integral V Series 2,,480,,SSD,,2.5,SATA 6.0 Gb/s
Transcend TS480GSSD220S,56.38,480,0.117,SSD,,2.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,95,2000,0.048,7200,256,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,319,10000,0.032,7200,512,3.5,SATA 6.0 Gb/s
Transcend 250H,369.99,4000,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Transcend 830S,22.99,128,0.18,SSD,,M.2-2280,M.2 SATA
Seagate Constellation CS,95.02,3000,0.032,7200,64,3.5,SATA 6.0 Gb/s
Seagate SkyHawk,222.13,10000,0.022,7200,256,3.5,SATA 6.0 Gb/s
Hitachi Ultrastar He8,299,8000,0.037,7200,128,3.5,SATA 6.0 Gb/s
Fantom Drives VENOM8 PS5,185.1,1000,0.185,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Titanium Micro TH7175,88.99,1000,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,,250,,7200,16,3.5,SATA 3.0 Gb/s
Seagate Momentus XT,187.5,500,0.375,7200,32,2.5,SATA 3.0 Gb/s
Western Digital WDBMMA0030HNC-NRSN,76.22,3000,0.025,5400,64,3.5,SATA 6.0 Gb/s
Toshiba MG03ACA,,1000,,7200,64,3.5,SATA 6.0 Gb/s
Western Digital Gold,294.45,6000,0.049,7200,128,3.5,SATA 6.0 Gb/s
Western Digital Red Pro,,8000,,7200,128,3.5,SATA 6.0 Gb/s
Seagate Enterprise Capacity,74.98,1000,0.075,7200,128,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S70,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,,4000,,5400,64,3.5,SATA 6.0 Gb/s
Western Digital Blue SA510,39.99,250,0.16,SSD,,M.2-2280,M.2 SATA
PNY CS2140,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba S300 Pro,159,6000,0.026,7200,256,3.5,SATA 6.0 Gb/s
Toshiba X300,,4000,,7200,256,3.5,SATA 6.0 Gb/s
Toshiba MG08ADA400E,174.99,4000,0.044,7200,256,3.5,SATA 6.0 Gb/s
Seagate Game Drive,,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital RE3,24.99,250,0.1,7200,16,3.5,SATA 3.0 Gb/s
Western Digital Scorpio Black,,80,,7200,16,2.5,SATA 3.0 Gb/s
Western Digital AV-GP,20.99,320,0.066,5400,8,3.5,SATA 3.0 Gb/s
Hitachi 7K1000.B,,1000,,7200,16,3.5,SATA 3.0 Gb/s
Hitachi E7K1000,70,500,0.14,7200,32,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,78.73,500,0.157,7200,16,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F1 DT,,500,,7200,8,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F1 DT,,320,,7200,16,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F1 RAID,,750,,7200,32,3.5,SATA 3.0 Gb/s
OCZ Colossus LT,,250,,SSD,128,3.5,SATA 3.0 Gb/s
OCZ Vertex 2,,100,,SSD,,2.5,SATA 3.0 Gb/s
Seagate BarraCuda,,500,,7200,16,3.5,SATA 3.0 Gb/s
Western Digital Caviar Blue,,500,,7200,16,3.5,PATA 100
Western Digital VelociRaptor,149.94,300,0.5,10000,16,3.5,SATA 3.0 Gb/s
Hitachi A7K2000,28.99,500,0.058,7200,32,3.5,SATA 3.0 Gb/s
Western Digital Caviar Black,,750,,7200,64,3.5,SATA 6.0 Gb/s
Zalman N,,128,,SSD,,2.5,SATA 3.0 Gb/s
Seagate BarraCuda,54,320,0.169,7200,16,3.5,SATA 6.0 Gb/s
Hitachi Deskstar 5K1000,,500,,5400,8,3.5,SATA 3.0 Gb/s
Intel 320,,120,,SSD,,2.5,SATA 3.0 Gb/s
Seagate Momentus 5400.6,126,160,0.787,5400,8,2.5,SATA 3.0 Gb/s
Western Digital Caviar Green,229,3000,0.076,5400,64,3.5,SATA 3.0 Gb/s
Kingston HyperX,,120,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital VelociRaptor,,300,,10000,32,3.5,SATA 6.0 Gb/s
Hitachi Travelstar 7K750,,750,,7200,16,2.5,SATA 3.0 Gb/s
Verbatim Verbatim SATA II,,64,,SSD,,2.5,SATA 3.0 Gb/s
Intel 520,,240,,SSD,,2.5,SATA 6.0 Gb/s
Intel 313,,24,,SSD,,2.5,SATA 3.0 Gb/s
ADATA Premier Pro SP900,,128,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba MK7559GSXP,62.5,750,0.083,5400,8,2.5,SATA 3.0 Gb/s
Toshiba MK2565GSX,,250,,5400,8,2.5,SATA 3.0 Gb/s
Crucial V4,,32,,SSD,,2.5,SATA 3.0 Gb/s
Intel 335,219,240,0.912,SSD,,2.5,SATA 6.0 Gb/s
Toshiba MQ01ABD075,,750,,5400,8,2.5,SATA 3.0 Gb/s
Toshiba HDKPC08,,3000,,7200,64,3.5,SATA 3.0 Gb/s
Intel DC S3700,336,800,0.42,SSD,,2.5,SATA 6.0 Gb/s
SanDisk Ultra Plus,,128,,SSD,,2.5,SATA 6.0 Gb/s
Intel DC S3500,142,160,0.887,SSD,,2.5,SATA 6.0 Gb/s
Samsung 840 Evo,,750,,SSD,,2.5,SATA 6.0 Gb/s
Samsung 840 Evo,,250,,SSD,,2.5,SATA 6.0 Gb/s
OCZ Vector 150,380,240,1.583,SSD,,2.5,SATA 6.0 Gb/s
Corsair Force LS,,120,,SSD,256,2.5,SATA 6.0 Gb/s
Kingston SSDNow KC300,120,180,0.667,SSD,,2.5,SATA 6.0 Gb/s
Seagate ST4000VX000,158.99,4000,0.04,5900,64,3.5,SATA 6.0 Gb/s
ADATA Premier SP610,,128,,SSD,,2.5,SATA 6.0 Gb/s
SanDisk EXTREME PRO,199.99,480,0.417,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow V310,300,960,0.312,SSD,,2.5,SATA 6.0 Gb/s
Intel Pro 2500,,240,,SSD,,2.5,SATA 6.0 Gb/s
Axiom Mac Signature III,,480,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow,,240,,SSD,,M.2-2280,M.2 SATA
MyDigitalSSD Super Boot Drive,,256,,SSD,,M.2-2242,M.2 SATA
Seagate Surveillance HDD,,5000,,5400,128,3.5,SATA 6.0 Gb/s
Intel DC S3610,,200,,SSD,,2.5,SATA 6.0 Gb/s
Intel DC S3610,377,800,0.471,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar He8,,8000,,7200,128,3.5,SAS 12.0 Gb/s
Hitachi Ultrastar 7K6000,646.54,6000,0.108,7200,128,3.5,SATA 6.0 Gb/s
Kingston Savage,,480,,SSD,,2.5,SATA 6.0 Gb/s
SanDisk Z400s,,128,,SSD,,2.5,SATA 6.0 Gb/s
Intel 750,,400,,SSD,,PCIe,PCIe x4
Intel DC P3500,,2000,,SSD,,PCIe,PCIe x4
Crucial BX200,,480,,SSD,,2.5,SATA 6.0 Gb/s
OCZ TRION 150,,480,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WDBSLA0010HNC-NRSN,75,1000,0.075,7200,,3.5,SATA 6.0 Gb/s
SanDisk X400,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Mushkin ECO3,,240,,SSD,256,2.5,SATA 6.0 Gb/s
AMD Radeon R3,,480,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow KC400,139.99,256,0.547,SSD,,2.5,SATA 6.0 Gb/s
Corsair Neutron XTi,,1920,,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG SX8000,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA SU800,,512,,SSD,,M.2-2280,M.2 SATA
Corsair Force LE,,120,,SSD,,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar,225,6000,0.037,7200,128,3.5,SAS 12.0 Gb/s
Plextor M9Pe,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP L5 LITE 3D,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,,1000,,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE8128GNTD,,128,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
ADATA XPG SX850,,256,,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro Compute,,12000,,7200,256,3.5,SATA 6.0 Gb/s
Silicon Power P34A80,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA SU800,,1000,,SSD,,M.2-2280,M.2 SATA
Plextor M8VC,,512,,SSD,512,2.5,SATA 6.0 Gb/s
Lexar NM500,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X2
TEAMGROUP T-Force Vulcan,,250,,SSD,,2.5,SATA 6.0 Gb/s
Micron 2200,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Micron 2200,,512,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Purple,253,10000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Kingston Q500,,120,,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNOW DC500M,,1920,,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power A55,,64,,SSD,,2.5,SATA 6.0 Gb/s
Toshiba MG06ACA800E,279.98,8000,0.035,7200,256,3.5,SATA 6.0 Gb/s
Asura Genesis Xtreme,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda 120,,250,,SSD,,2.5,SATA 6.0 Gb/s
Transcend TS8GPSD520,,8,,SSD,,2.5,PATA 44-Pin 100
Addlink X70,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Transcend 220S,114.8,1000,0.115,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S70,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Neo Forza eSports,,256,,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
Toshiba X300 Pro,,8000,,7200,256,3.5,SATA 6.0 Gb/s
Addlink S90,,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Addlink S70,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN550,249.99,2000,0.125,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital PC SN730,,256,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf 125,,250,,SSD,,2.5,SATA 6.0 Gb/s
