name,price,style,switches,backlit,tenkeyless,connection_type,color
Logitech G Pro League of Legends,89.99,Gaming,GX Brown,RGB,true,Wired,Blue / Black
ROCCAT Vulcan 121 Aimo RGB,84.43,Gaming,Roccat Titan Brown,RGB,false,Wired,Black
Razer Pro Type Ultra - FR,,Standard,Razer Yellow,White,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Keychron K13 Pro,89,Standard,Gateron Low-Profile Red,RGB,true,"Wired, Bluetooth Wireless",Black / Red
HP HyperX Alloy Origins,,Gaming,HyperX Red,RGB,false,Wired,Black
Cooler Master SK653,,Gaming,TTC Brown Low Profile,RGB,false,Bluetooth Wireless,Gray / Black
Logitech MX Mechanical,169.99,Slim,Kailh Choc V2 Red,White,false,Wireless,
Logitech G715,,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech MX KEYS S,199.99,Slim,,White,false,"Wired, Wired, Wireless, Bluetooth Wireless",Gray
Logitech PRO X 60,,Mini,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
DrunkDeer G65,117.99,Gaming,,RGB,true,Wired,Black / Orange
Logitech K310,150.59,Standard,,,false,Wired,Black
Perixx PERIBOARD-409H,24.99,Mini,,,false,Wired,Black
SteelSeries Apex 150,,Gaming,,,false,Wired,Black
RK Royal Kludge RK71,,Gaming,RK Blue,RGB,true,Bluetooth Wireless,Black
Logitech MX KEYS S,81.99,Standard,,,false,"Wired, Wireless, Bluetooth Wireless",Gray
Keychron C1 Pro V1 Hotswap,,Standard,Keychron K Pro Red,RGB,true,Wired,Black / Gray
Ducky ONE 3 Daybreak,,Gaming,Cherry MX Red RGB,RGB,false,Wired,Blue
Logitech G915 Lightspeed,,Gaming,Logitech GL Tactile,RGB,false,"Wireless, Bluetooth Wireless",Black
Kensington K755,32.89,Standard,,,true,"Wired, Wireless, Bluetooth Wireless",Silver
Targus AKB863US,23.95,Slim,,,false,Bluetooth Wireless,Black
Logitech MX Keys,196.47,Mini,,,true,"Wired, Wired, Wireless, Bluetooth Wireless",
Keychron Q3 Max QMK/VIA,,Standard,Gateron Jupiter Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / White
Microsoft SIDEWINDER X4,,Gaming,,Red,false,Wired,Black
Logitech K350,,Ergonomic,,,false,Wireless,Black
Razer BlackWidow,,Gaming,Cherry MX Blue,,false,Wired,Black
Grandtec KEY-3000,,Slim,,,true,Wireless,Black
Corsair Vengeance K90,,Gaming,Cherry MX Red,Blue,false,Wired,Black / Gray
Logitech Wireless Touch k400,,Slim,,,true,Wireless,White
Razer Blackwidow Tournament Edition,,Gaming,Razer Green,,true,Wired,Black
Razer DeathStalker Chroma,,Gaming,,RGB,false,Wired,Black
Logitech G100S Gaming Combo,,Standard,,,false,Wired,Black
ROCCAT Skeltr,,Gaming,,RGB,false,Wired,White
Dell Alienware AW768,,Gaming,Kailh Brown,RGB,false,Wired,Silver
Logitech MK520,105.83,Slim,,,false,Wireless,Black
Ducky One 2 RGB TKL,,Standard,Cherry MX Brown,RGB,true,Wired,Black
Corsair RGB MK.2 Low Profile,,Gaming,Cherry MX Low Profile Red,RGB,false,Wired,Black
Asus TUF GAMING K5,,Gaming,,RGB,false,Wired,Black
Logitech G513 Carbon,,Gaming,GX Blue,RGB,false,Wired,Black
Rosewill NEON K90 RGB,164.5,Gaming,Kailh Blue,RGB,false,Wired,Black
HP Business Slim,33.07,Slim,,,false,Wired,Black
Cooler Master CK550,,Gaming,Gateron Brown,RGB,false,Wired,Black
Redragon S113,,Gaming,Outemu Brown,RGB,true,Wired,Black
AUKEY KM-G12,,Gaming,Outemu Blue,RGB,false,Wired,Black
Cherry Strait Black 3.0,,Standard,,,false,Wired,Black
Cooler Master SK620,,Gaming,TTC Red,RGB,true,Wired,Gray / Black
Corsair K65 RGB MINI BERRY WAVE,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Blue / White
Logitech MK295 SILENT,,Standard,,,false,"Wired, Wireless",Black
Keychron K8,,Standard,Gateron G Pro Red,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron C1 Pro V1,,Standard,Keychron K Pro Red,White,true,Wired,Black / Gray
Ducky ONE 3,,Gaming,Cherry MX Speed Silver RGB,RGB,false,Wired,White
Ducky ONE 3,,Gaming,Cherry MX Brown RGB,RGB,false,Wired,Gray / White
Asus ROG Strix Scope Deluxe,,Gaming,ROG NX Red,RGB,true,Wired,Black
Dell DJ454,42,Standard,,,false,Wired,Black
SteelSeries Apex Pro Mini,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
SteelSeries Apex Pro Mini,,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Ducky PowerColor x Ducky One 2 SF RGB,,Gaming,Kailh Box Brown,RGB,true,Wired,Black
Keychron Q3 Pro Special Edition,,Standard,Keychron K Pro Brown,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron Q6 Max QMK/VIA,,Standard,Gateron Jupiter Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black / White
Keychron K5 Max,,Standard,Gateron Low-Profile Brown,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black / Gray
Logitech G915 LIGHTSPEED TKL,,Gaming,Logitech Low-Profile GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 X LIGHTSPEED,,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Keychron Q3 Max QMK/VIA,,Standard,Gateron Jupiter Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Gray
Keychron Q3 Max QMK/VIA,,Standard,Gateron Jupiter Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Gray
Ducky One 3 w/ Quack Mechanics,,Gaming,Cherry MX Red,RGB,true,Wired,Black
Keychron Q1 QMK V2 Knob,209,Mini,Gateron G Pro Red,,true,Wired,Silver / Yellow
Keychron Lemokey P1 QMK/VIA Knob,,Mini,Keychron Super Red,,true,Wired,Silver / Teal
WOBKEY Crush 80 Reboot Pro,,Standard,Kailh Cocoa,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / Red
Cherry G84-5200LCMEU-2,,Standard,Cherry ML,,false,Wired,Black
AZIO Large Print Tri-Color Illuminated Keyboard,33.99,Ergonomic,,Multicolor,false,Wired,Black
Logitech G915 TKL,199.95,Gaming,GL Clicky,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech Signature MK650,69.98,Standard,,,false,"Wired, Wireless, Bluetooth Wireless",White
ROCCAT Suora,64.98,Gaming,TTC Brown,Blue,false,Wired,Black
Keychron K10 Hotswap,94.99,Standard,Gateron G Pro Red Hot-swappable,White,false,"Wired, Bluetooth Wireless",Gray / Black
Adesso SlimTouch 120 - 3-Color Illuminated Compact Multimedia Keyboard,33.31,Standard,,Multicolor,false,Wired,Black
V7 KU200US,,Standard,,,false,Wired,Black
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Adesso Antimicrobial Waterproof Flex Keyboard,16.82,Mini,,,false,Wired,Black
SMK-Link VP3810,19.98,Standard,,,false,Wired,Black
A4Tech B120,34.85,Gaming,,Red,false,Wired,Black
NZXT Function,,Gaming,Gateron Red,RGB,false,Wired,White / Black
Logitech K845,,Standard,Cherry MX Red,White,false,Wired,Black
ENDORFY Thock,,Gaming,Kailh Blue,RGB,true,Wired,Black
Logitech G515 LIGHTSPEED,,Gaming,GL Tactile V2,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Adesso SlimTouch 110,28.39,Slim,,Multicolor,true,Wired,Black
iKBC CD87 V2,79.98,Standard,Cherry MX Clear,,true,Wired,Black
Ducky One 3 Matcha,114,Standard,Cherry MX Speed Silver,,true,Wired,Beige / Green
Ducky ONE 3 AURA,,Gaming,Cherry MX Silent Red RGB,RGB,false,Wired,Black
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Razer Huntsman V3 Pro Mini,,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Razer Ornata V3,,Gaming,,RGB,false,Wired,Black
IQUNIX ZX75 Dark Side,,Gaming,IQUNIX Moonstone,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Keychron K5 Max,124.99,Standard,Gateron Low-Profile Brown (Hot-Swappable),RGB,false,,Black / Gray
Logitech G915 LIGHTSPEED TKL,,Gaming,Logitech Low-Profile GL Clicky,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Keychron Q3 Max QMK/VIA,,Standard,Gateron Jupiter Banana,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Gray
Tecware Phantom+ Elite,81.99,Gaming,Tecware Wraith Orange,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Gray
Keychron Q1 QMK V2,,Mini,Gateron G Pro Brown,,true,Wired,Black
Keychron Lemokey P1 QMK/VIA Knob Pro,,Mini,Keychron Super Banana,,true,"Wired, Wireless, Bluetooth Wireless",Black / Red
SolidTek KB-595BU,21.83,Mini,,,false,Wired,Black
Logitech G19,,Standard,,Multicolor,false,Wired,Black
Logitech K800,,Slim,,White,false,Wireless,Black
Cooler Master Storm QuickFire Rapid,,Gaming,Cherry MX Blue,,true,Wired,Gray / Black
Filco Majestouch-2,140.59,Standard,Cherry MX Blue,,true,Wired,Black
Cherry G80-3800 MX Board 2.0,,Standard,Cherry MX Brown,,false,Wired,Black
Corsair Vengeance K95,,Gaming,Cherry MX Red,Blue,false,Wired,Black
Ducky Zero,,Gaming,Cherry MX Blue,,false,Wired,Black
HP B1T09AT#ABA,20.42,Standard,,,false,Wired,Black
Dell KB212-B,,Ergonomic,,,false,Wired,Black
Cooler Master CM Storm QuickFire XT,,Slim,Cherry MX Brown,,false,Wired,Black
Adesso Antimicrobial Waterproof Flex Keyboard,17.99,Slim,,,true,Wired,Black
Key Ovation Go!2 Mobile Keyboard - PC & Mac - USB,,Mini,,,true,Wired,Black
Corsair Raptor K30,,Gaming,,Red,false,Wired,Black / Silver
matias Laptop Pro for Mac,,Mini,ALPS White,,true,Wired,Black / Silver
Microsoft Sculpt Ergonomic Keyboard For Business,344.94,Ergonomic,,,false,Wireless,Black
Logitech Corded Keyboard K280e,,Standard,,,false,Wired,Black
Razer Blackwidow Ultimate 2014 Stealth Edition,,Gaming,Razer Orange,Green,false,Wired,Black
Corsair K70 RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Corsair K70,,Gaming,Cherry MX Red,Red,false,Wired,Black
Kensington Pro Fit,25.73,Standard,,,false,Wireless,Black
IOGEAR Kaliber Gaming,50.84,Standard,,,false,Wireless,Black
Vortex POK3R,,Mini,Cherry MX Brown,,false,Wired,Black
Microsoft Comfort Desktop 5050,,Ergonomic,,,false,Wireless,Black
AmazonBasics KU-0833,,Standard,,,false,Wired,Black
WASD CODE,,Standard,Cherry MX Clear,White,true,Wired,Black
SHARKOON Skiller Pro Plus,,Gaming,,Multicolor,false,Wired,Black
Asus ROG Claymore,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Microsoft Sculpt Ergonomic Desktop,,Ergonomic,,,false,Wireless,Black
HP HyperX Alloy FPS Pro,,Gaming,Cherry MX Blue,Red,true,Wired,Black
Tecware Phantom RGB TKL,,Gaming,Outemu Brown,RGB,true,Wired,Black
Ducky One 2 Mini,,Standard,Cherry MX Speed Silver,RGB,true,Wired,White / Black
HP HyperX Alloy FPS RGB,,Gaming,Kailh Silver Speed,RGB,false,Wired,Black
Adesso AKB-160UB,32.88,Ergonomic,,,false,Wired,Black
Inland 70119,,Standard,,,false,Wireless,Black
Razer BlackWidow Ultimate,,Gaming,Razer Green,Green,false,Wired,Black
V7 V7 Professional,20,Standard,,,false,Wired,Black
DROP CTRL,,Gaming,Cherry MX Blue,RGB,true,Wired,Silver / Black
Ducky Ducky One 2 SF RGB,,Gaming,Cherry MX Silent Red,RGB,true,Wired,Black
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Leopold FC750R Black PD,,Standard,Cherry MX Silent Red,,false,Wired,Black
RK Royal Kludge RK71,,Gaming,RK Blue,RGB,true,Bluetooth Wireless,White
Ducky Mecha Mini v2,,Mini,Cherry MX Brown,RGB,true,Wired,Black
Corsair K65 RGB MINI,,Mini,Cherry MX Brown,RGB,true,Wired,Black
Keychron K2 Hot-swappable,,Gaming,Gateron Red,White,true,Wireless,Black / White
Asus ROG Strix Scope RX EVA Edition,,Gaming,ROG RX Blue Optical,RGB,false,Wired,Purple / Green
Corsair K65 RGB MINI Pastel Twilight,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Purple / Pink
Logitech G715,,Gaming,GX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech MX KEYS MINI,,Mini,,,true,"Wired, Wireless, Bluetooth Wireless",Pink
Keychron Q6,,Gaming,Gateron G Pro Red,RGB,false,Wired,Blue
Keychron K8,,Standard,Gateron G Pro Red,White,true,"Wired, Bluetooth Wireless",Black / Gray
Perixx PERIBOARD-106,,Standard,,,false,Wired,White
Keychron C2 Pro V1,,Standard,Keychron K Pro Red,White,false,Wired,Black / Gray
Keychron K6 Aluminum Frame,,Standard,Gateron G Pro Brown,RGB,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron Q1 Pro,,Standard,Keychron K Pro Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman V3 Pro,,Gaming,Razer Analog Optical Switch Gen-2,RGB,false,Wired,Black
Razer Huntsman V3 Pro Mini,,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Keychron K3 Pro,,Standard,Gateron Low-Profile Red (Hot-Swappable),RGB,true,"Wired, Bluetooth Wireless",White
Asus ROG Strix Scope RX EVA-02 Edition,,Gaming,ROG RX Blue Optical,RGB,false,Wired,Red / Black
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Gray / Black
Cooler Master CK550 V2,,Gaming,TTC Brown,RGB,false,Wired,Black
Cooler Master SK622,,Gaming,TTC Red Low Profile,RGB,true,"Wired, Bluetooth Wireless",White / Silver
Asus ROG Strix Scope,,Gaming,ROG NX Red,RGB,true,Wired,Black
Asus ROG Falchion,120.97,Gaming,ROG NX Brown,RGB,true,"Wired, Wireless",Black
AZIO IZO,69.99,Standard,Gateron Red,,true,"Wired, Bluetooth Wireless",Yellow / Black
HP 235,58.05,Standard,,,false,"Wired, Wireless",Black
SteelSeries Apex 3 (2020),,Gaming,,RGB,false,Wired,Black
Logitech MK295 Silent,,Standard,,,false,"Wired, Wireless",Black
IQUNIX F97 Hitchhiker,,Gaming,Cherry MX Red,,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
IQUNIX ZX75 Gravity Wave,,Gaming,TTC Gold Pink,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Yellow
Keychron Q3 Pro,,Standard,Keychron K Pro Brown,RGB,true,"Wired, Bluetooth Wireless",Black / Blue
Logitech PRO X 60,,Mini,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G515 LIGHTSPEED,,Gaming,GL Linear V2,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech Signature K650,,Standard,,,false,"Wireless, Bluetooth Wireless",Black
Logitech G915 X LIGHTSPEED,,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 X LIGHTSPEED,,Gaming,Logitech Low-Profile GL Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Keychron Q3 Max QMK/VIA,,Standard,Gateron Jupiter Banana,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black / White
Ducky One 3 w/ Quack Mechanics,,Gaming,Cherry MX Black,RGB,true,Wired,Black
DrunkDeer G65,117.99,Gaming,,RGB,true,Wired,White / Purple
Keychron Q6 HE QMK,,Standard,Gateron Nebula,RGB,false,"Wired, Wireless, Bluetooth Wireless",White / Green
Keychron Lemokey P1 QMK/VIA Knob Pro,,Mini,Keychron Super Red,,true,"Wired, Wireless, Bluetooth Wireless",Silver / White
Kensington K72357USA,27.47,Slim,,,false,Wired,Black
Corsair K70 CORE w/Palmrest,,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
YEYIAN Akil 3500,42.99,Standard,Outemu Red,RGB,true,"Wired, Wired",Black
Ducky ONE 3 AURA,129,Gaming,Cherry MX Brown RGB,RGB,false,Wired,Black
Logitech G515,,Gaming,Logitech Low-Profile GL Tactile,RGB,true,Wired,Black
HP 450,24.99,Standard,,,false,"Wired, Wireless",Black
Logitech MK295 Silent,,Standard,,,false,"Wired, Wireless",White
Anker T300,28.95,Slim,,,false,Bluetooth Wireless,Black
Das Keyboard Prime 13,139,Standard,Cherry MX Brown,White,false,Wired,Black
Cooler Master CK720 UK,,Gaming,Kailh Box White V2,RGB,true,Wired,Silver / White
Keychron K5 Pro,,Gaming,Gateron Low-Profile Red (Hot-Swappable),RGB,false,"Wired, Bluetooth Wireless",Black / Red
Corsair K55 CORE RGB,90.86,Gaming,,RGB,false,Wired,Black
Logitech Wave Keys,59.99,Ergonomic,,,false,"Wired, Wireless, Bluetooth Wireless",White
Logitech Signature K650,,Standard,,,false,"Wireless, Bluetooth Wireless",Black
SolidTek KB-260ABU-SP,17.98,Standard,,,false,Wired,Black
Microsoft ANB-00001,56.99,Slim,,,false,Wired,Black
Logitech MK710,70.99,Standard,,,false,Wireless,Black
Cooler Master CK530,119.99,Gaming,Gateron Red,RGB,true,Wired,
Adesso AKB-132HB,17.98,Standard,,,false,Wired,Black
V7 CKW200US,24.94,Standard,,,false,Wireless,Black
Thermaltake Tt eSports Meka Pro,94.98,Gaming,Cherry MX Blue,Red,false,Wired,Black
Kinesis Gaming Freestyle Edge,199,Ergonomic Split,Cherry MX Red,RGB,true,Wired,Black
HP HyperX Alloy Origins,,Gaming,HyperX Blue,RGB,false,Wired,Black
Das Keyboard 4 root,,Gaming,Cherry MX Brown,,false,Wired,Black
Logitech G413 SE,,Gaming,Kailh LT Brown,White,true,Wired,Black
Ducky One 3 Matcha,109,Standard,Cherry MX Blue,,true,Wired,Beige / Green
Logitech G715,,Gaming,GX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech MX KEYS MINI,,Mini,,,true,"Wired, Wireless, Bluetooth Wireless",Silver
Kinesis Gaming Freestyle Pro,169,Ergonomic Split,Cherry MX Brown,,true,Wired,Black
Razer BlackWidow V4 Pro,,Gaming,Razer Green,RGB,false,Wired,Black
Cooler Master CK720 FR,,Gaming,Kailh Box Red V2,RGB,true,Wired,Gray / Black
Razer Ornata V3,,Gaming,,RGB,false,Wired,Black
Adesso AKB-150SB-TAA,69.93,Ergonomic,,,false,Wired,Black
HP 975,99.99,Standard,,,false,"Wired, Wireless, Bluetooth Wireless",Black
Kensington K755,33.44,Standard,,,true,"Wired, Wireless, Bluetooth Wireless",Black
IQUNIX F97 Hitchhiker,,Gaming,Cherry MX Brown,,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Logitech PRO X 60,,Mini,Logitech GX Red Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech Signature K650,,Standard,,,false,"Wireless, Bluetooth Wireless",Black
Logitech G515,,Gaming,Logitech Low-Profile GL Tactile,RGB,true,Wired,White
DrunkDeer G65,117.99,Gaming,,RGB,true,Wired,Gray / Purple
NZXT KB-101NB-US,199.99,Gaming,,RGB,true,Wired,Black
HP DT528A#ABA,,Standard,,,false,Wired,Black / Silver
Microsoft Keyboard 400,,Standard,,,false,Wired,Black
Microsoft Natural Ergonomic Keyboard 4000,,Ergonomic,,,false,Wired,Black
Razer Blackwidow Ultimate Dragon Age II Edition,,Gaming,Cherry MX Blue,Red,false,Wired,Black
Razer Arctosa,,Standard,,,false,Wired,Black
Lenovo 73P2620,,Standard,,,false,Wired,Black
Microsoft Natural Keyboard Elite,236.53,Ergonomic,,,false,Wired,Beige
Cherry STREAM XT,,Standard,,,false,Wired,Black
Cherry G80-11900LPMUS-2,,Mini,Cherry MX Black,,false,Wired,Black
Kensington 64338,,Ergonomic,,,false,Wired,Black
ROCCAT ISKU,,Gaming,,,false,Wired,Black
Dell 0DJ415,,Standard,,,false,Wired,Black
Dell 0DJ425,,Standard,,,false,Wired,Black
IBM 40K5372,,Standard,,,false,Wired,Black
Logitech K360,,Mini,,,false,Wireless,Black
AZIO Levetron Mech5,,Gaming,Cherry MX Black,,false,Wired,Black / Red
Genius KB-06XE PS2,,Standard,,,false,Wired,Black
Razer BlackWidow 2013,,Gaming,Cherry MX Blue,,false,Wired,Black
Happy Hacking Professional 2 Type S,,Standard,Topre 45g Silent,,true,Wired,White
Cooler Master CM Storm QuickFire Rapid,,Gaming,Cherry MX Green,,true,Wired,Black
Cooler Master CM Storm Quick Fire TK,,Gaming,Cherry MX Red,Red,false,Wired,Black
Ducky DK9008 Shine II,,Gaming,Cherry MX Blue,White,false,Wired,Pink / White
Corsair Raptor K50,,Gaming,,RGB,false,Wired,Black
Corsair Vengeance K65 Compact Mechanical Gaming Keyboard,,Gaming,Cherry MX Red,,true,Wired,Black / Gray
Adesso Multimedia Desktop Keyboard,16.98,Standard,,,false,Wired,Black
Razer Orbweaver Elite Mechanical Gaming Keypad,,Gaming,Cherry MX Blue,Green,true,Wired,Black
Corsair Vengeance K70,,Gaming,Cherry MX Red,Red,false,Wired,Black / Silver
Corsair K95,,Gaming,Cherry MX Red,White,false,Wired,Black
Corsair K95 RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Ducky Shine 4,,Gaming,Cherry MX Black,Red / Blue,false,Wired,Black
Logitech Keyboard and Mouse,,Ergonomic,,,false,Wireless,Black
Zowie CELERITAS,,Standard,Cherry MX Brown,,false,Wired,Black
BlueFinger CM200,,Gaming,,Multicolor,false,Wired,Black
Corsair STRAFE RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Corsair K95 RGB,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Cooler Master MasterKeys Pro L,,Standard,Cherry MX Brown,RGB,false,Wired,Black
Corsair K70 RAPIDFIRE,,Gaming,Cherry MX Speed Silver,Red,false,Wired,Black
EagleTec KG010,,Gaming,Outemu Blue,Blue,false,Wired,Black
Corsair K70 LUX RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Razer Ornata,,Gaming,,Green,false,Wired,Black
Qisan Magicforce,,Mini,Outemu Brown,,true,Wired,White
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Blue,,true,Wired,Black
Filco Ninja Majestouch-2 TKL,,Standard,Cherry MX Red,,true,Wired,Black
SteelSeries Apex M750,,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
ROCCAT RYOS MK FX,,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Gigabyte FORCE K83,,Standard,Cherry MX Blue,,false,Wired,Black
Corsair K66,,Gaming,Cherry MX Red,,false,Wired,Black
Cougar Vantar,,Gaming,,RGB,false,Wired,Black
Gigabyte AORUS K7,,Gaming,Cherry MX Red,RGB,false,Wired,Gray
Cooler Master MasterKeys L,,Gaming,Cherry MX Blue,,false,Wired,Black
Ducky Shine 6,,Standard,Cherry MX Blue,,false,Wired,Black
HP HyperX Alloy Elite,,Gaming,Cherry MX Blue,Red,false,Wired,Black
HP HyperX Alloy Elite RGB,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
MSI VIGOR GK70,,Gaming,Cherry MX Red,RGB,true,Wired,Black
Corsair K70 RGB MK.2,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Tecware Phantom RGB,,Gaming,Outemu Brown,RGB,false,Wired,Black
HP Sequencer,,Gaming,,RGB,false,Wired,Black
Velocifire TKL01,,Standard,Outemu Brown,Blue,true,Wired,Black
Cooler Master SK650,,Gaming,Cherry MX Low Profile Red,RGB,false,Wired,Black
Redragon K551-R,,Gaming,Outemu Blue,RGB,false,Wired,Black
Redragon K551-N,,Standard,Outemu Blue,,false,Wired,Black
Drevo BladeMaster TE RGB,,Gaming,Gateron Blue,RGB,true,Wired,Black
Trust GXT 285,,Gaming,,Multicolor,false,Wired,Black / Red
Lenovo Preferred Pro II,36.99,Standard,,,false,Wired,Black
SteelSeries Apex 7 TKL,99.99,Gaming,SteelSeries QX2 Blue,RGB,true,Wired,Black
FNATIC Streak RGB,,Gaming,Cherry MX Silent Red,RGB,false,Wired,Black
DROP CTRL,,Gaming,Kailh Halo Clear,RGB,true,Wired,Silver / Black
Razer TURRET FOR XBOX ONE,,Gaming,Razer Green,RGB,true,Wireless,Black
Kensington Pro Fit Ergo,49.99,Ergonomic,,,false,Wireless,Black
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Ducky Shine 7 Blackout RGB,,Gaming,Cherry MX Silent Red,RGB,false,Wired,Black
Ducky Ducky One 2,,Gaming,Cherry MX Brown,Blue,true,Wired,White
AOC AGK700,,Gaming,Cherry MX Red,RGB,false,Wired,Black / Red
Logitech G Pro X,,Gaming,Logitech GX Red Linear,RGB,true,Wired,Black
Logitech G Pro X Shroud,,Gaming,Logitech GX Red Linear,RGB,true,Wired,Black
Cooler Master SK650 White Limited Edition,,Gaming,Cherry MX RGB Low Profile,RGB,false,Wired,Silver / White
Corsair K65 RGB MINI BUBBLEGUM POP,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Pink / White
Corsair K65 RGB MINI HINT OF MINT,,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Green / White
MSI Vigor GK71 SONIC,,Gaming,MSI Sonic Red,RGB,false,Wired,Black / Silver
Asus TUF Gaming K3,,Gaming,Kailh Blue,RGB,false,Wired,Gunmetal
Keychron K2 Plastic,,Standard,Gateron G Pro Blue,RGB,true,Wireless,Black / Gray
Asus ROG Strix Scope,,Gaming,ROG NX Brown,RGB,true,Wired,White / Gray
Logitech G715,,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G715,,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech MX KEYS MINI,,Mini,,,true,"Wired, Wireless, Bluetooth Wireless",Gray
Keychron V6 QMK,,Standard,Keychron K Pro Red,,false,"Wired, Wired",Black
Razer BlackWidow V4 Pro,,Gaming,Razer Yellow,RGB,false,Wired,Black
Keychron K8 Aluminum Frame,,Standard,Gateron G Pro Brown Hot-swappable,,true,"Wired, Bluetooth Wireless",Black / Gray
Keychron K8 Aluminum Frame,,Standard,Gateron Brown Optical Hot-swappable,,true,"Wired, Bluetooth Wireless",Black / Gray
MSI VIGOR GK71 SONIC,,Gaming,MSI Sonic Red,RGB,false,Wired,Black
Ducky ONE 3 AURA,,Gaming,Cherry MX Speed Silver RGB,RGB,false,Wired,Black
Logitech G915 Lightspeed,,Gaming,Logitech GL Clicky,RGB,false,"Wireless, Bluetooth Wireless",Black
Corsair K70 CORE w/Palmrest,,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
Keychron K13 Pro,,Standard,Gateron Low-Profile Red,White,true,"Wired, Bluetooth Wireless",Black / Red
Keychron K17 Pro,,Standard,Gateron Low-Profile Red (Hot-Swappable),RGB,false,"Wired, Bluetooth Wireless",Black / Red
Keychron K1 V5,,Standard,Gateron Low-Profile Blue,White,true,"Wired, Bluetooth Wireless",Black / Gray
Asus ROG Strix Flare II,,Gaming,ROG NX Blue,RGB,false,Wired,Black
Razer Ornata V3,,Gaming,,RGB,false,Wired,Black
Logitech POP Keys Heartbreaker,,Mini,TTC Brown,,true,"Wireless, Bluetooth Wireless",Pink / Red
